id,file,date,year,width,height,thumb,src
img-3460,IMG_3460.JPG,2012-04-27,2012,2305,1537,assets/photos/thumbs/img-3460.jpg,assets/photos/full/img-3460.jpg
img-3467,IMG_3467.JPG,2012-04-27,2012,2049,1537,assets/photos/thumbs/img-3467.jpg,assets/photos/full/img-3467.jpg
img-3674,IMG_3674.jpeg,2013-10-27,2013,1920,1280,assets/photos/thumbs/img-3674.jpg,assets/photos/full/img-3674.jpg
mg-3799,_MG_3799.jpeg,2013-11-03,2013,1920,1280,assets/photos/thumbs/mg-3799.jpg,assets/photos/full/mg-3799.jpg
mg-6197,_MG_6197.jpeg,2013-11-21,2013,720,480,assets/photos/thumbs/mg-6197.jpg,assets/photos/full/mg-6197.jpg
img-6912,IMG_6912.JPG,2013-12-14,2013,2305,1537,assets/photos/thumbs/img-6912.jpg,assets/photos/full/img-6912.jpg
img-6922,IMG_6922.JPG,2013-12-18,2013,2305,1537,assets/photos/thumbs/img-6922.jpg,assets/photos/full/img-6922.jpg
mg-9804,_MG_9804.JPG,2014-07-19,2014,2305,1537,assets/photos/thumbs/mg-9804.jpg,assets/photos/full/mg-9804.jpg
img-9893,IMG_9893.JPG,2014-12-06,2014,2305,1537,assets/photos/thumbs/img-9893.jpg,assets/photos/full/img-9893.jpg
img-9948,IMG_9948.JPG,2014-12-31,2014,2305,1537,assets/photos/thumbs/img-9948.jpg,assets/photos/full/img-9948.jpg
img-0175,IMG_0175.JPG,2015-01-30,2015,2305,1537,assets/photos/thumbs/img-0175.jpg,assets/photos/full/img-0175.jpg
img-0264,IMG_0264.JPG,2015-01-30,2015,2305,1537,assets/photos/thumbs/img-0264.jpg,assets/photos/full/img-0264.jpg
img-0270,IMG_0270.JPG,2015-01-30,2015,2305,1537,assets/photos/thumbs/img-0270.jpg,assets/photos/full/img-0270.jpg
img-0787,IMG_0787.JPG,2015-04-28,2015,2305,1537,assets/photos/thumbs/img-0787.jpg,assets/photos/full/img-0787.jpg
